Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",156.570000,-99.505000,90.000000,top
"C2","100n","C_0402_1005Metric",159.330000,-95.570000,270.000000,top
"C3","100n","C_0402_1005Metric",162.470000,-95.570000,270.000000,top
"C4","1u","C_0805_2012Metric",171.800000,-108.090000,90.000000,top
"C5","10u","C_0805_2012Metric",166.340000,-108.090000,90.000000,top
"C6","100n","C_0402_1005Metric",153.670000,-95.840000,90.000000,top
"C7","100n","C_0402_1005Metric",153.660000,-105.650000,90.000000,top
"C8","100n","C_0402_1005Metric",145.860000,-95.325000,180.000000,top
"D1","ESD5Z5.0","D_SOD-523",138.540000,-103.596000,90.000000,top
"D2","ESD5Z5.0","D_SOD-523",165.600000,-98.400000,90.000000,top
"D3","ESD5Z5.0","D_SOD-523",165.600000,-101.600000,270.000000,top
"D4","LED","LED_0402_1005Metric",168.190000,-105.820000,180.000000,top
"D5","ESD5Z5.0","D_SOD-523",173.510000,-108.090000,270.000000,top
"D6","LED","LED_0402_1005Metric",168.200000,-94.170000,180.000000,top
"D7","ESD5Z5.0","D_SOD-523",137.110000,-103.596000,90.000000,top
"D8","ESD5Z5.0","D_SOD-523",134.240000,-103.596000,90.000000,top
"D9","ESD5Z5.0","D_SOD-523",135.680000,-103.596000,90.000000,top
"D10","ESD5Z5.0","D_SOD-523",132.810000,-103.596000,90.000000,top
"J1","USB C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",171.600000,-100.000000,90.000000,top
"J2","HDMI_A","HDMI_A_Contact_Technology_HDMI-19APL2_Horizontal",135.000000,-108.600000,0.000000,top
"Q1","NDC7002N","SuperSOT-6",150.000000,-100.000000,180.000000,top
"Q4","AO3400A","SOT-23",157.840000,-106.130000,180.000000,top
"R1","5k1","R_0402_1005Metric",165.830000,-104.390000,90.000000,top
"R2","5k1","R_0402_1005Metric",165.830000,-95.610000,270.000000,top
"R3","100k","R_0402_1005Metric",158.037500,-95.570000,90.000000,top
"R4","20k","R_0402_1005Metric",152.560000,-101.150000,270.000000,top
"R5","20k","R_0402_1005Metric",152.560000,-98.850000,90.000000,top
"R6","100k","R_0402_1005Metric",145.880000,-103.540000,180.000000,top
"R7","100k","R_0402_1005Metric",145.880000,-106.460000,180.000000,top
"R8","1k","R_0402_1005Metric",166.290000,-105.820000,0.000000,top
"R9","1k","R_0402_1005Metric",145.860000,-94.350000,180.000000,top
"R10","40k","R_0402_1005Metric",145.860000,-96.285000,0.000000,top
"R11","60k","R_0402_1005Metric",145.860000,-97.265000,180.000000,top
"R12","1k","R_0402_1005Metric",166.290000,-94.170000,0.000000,top
"R14","27k","R_0402_1005Metric",160.040000,-106.130000,90.000000,top
"R15","40k","R_0402_1005Metric",145.860000,-93.370000,0.000000,top
"R16","60k","R_0402_1005Metric",145.860000,-92.400000,180.000000,top
"R17","1k5","R_0402_1005Metric",145.880000,-105.490000,180.000000,top
"R18","1k5","R_0402_1005Metric",145.880000,-104.510000,180.000000,top
"U1","STM32F042F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",160.900000,-100.000000,0.000000,top
"U2","XC6206PxxxMR","SOT-23",169.070000,-108.090000,0.000000,top
"U3","AP2152","MSOP-8_3x3mm_P0.65mm",149.990000,-95.000000,180.000000,top
"U4","AP2152","MSOP-8_3x3mm_P0.65mm",150.000000,-105.000000,180.000000,top
